COMPROING	NROCOMPROING	CAJA	RAZÓN
RB	100098144	1000079	FACTURA_NO_ENCONTRADA
RB	100098144	1000079	FACTURA_NO_ENCONTRADA
RB	100098144	1000079	FACTURA_NO_ENCONTRADA
RB	100098150	1000080	FACTURA_NO_ENCONTRADA
RB	100098162	1000081	FACTURA_NO_ENCONTRADA
RB	100098166	1000081	FACTURA_NO_ENCONTRADA
RB	100098166	1000081	FACTURA_NO_ENCONTRADA
RB	100098179	1000082	FACTURA_NO_ENCONTRADA
RB	100098181	1000082	FACTURA_NO_ENCONTRADA
RB	100098181	1000082	FACTURA_NO_ENCONTRADA
RB	100098181	1000082	FACTURA_NO_ENCONTRADA
RB	100098183	1000082	FACTURA_NO_ENCONTRADA
RB	100098188	1000082	FACTURA_NO_ENCONTRADA
RB	100098188	1000082	FACTURA_NO_ENCONTRADA
RB	100098190	1000082	FACTURA_NO_ENCONTRADA
RB	100098190	1000082	FACTURA_NO_ENCONTRADA
RB	100098191	1000082	FACTURA_NO_ENCONTRADA
RB	100098201	1000083	FACTURA_NO_ENCONTRADA
RB	100098203	1000083	FACTURA_NO_ENCONTRADA
RB	100098203	1000083	FACTURA_NO_ENCONTRADA
RB	100098203	1000083	FACTURA_NO_ENCONTRADA
RB	100098203	1000083	FACTURA_NO_ENCONTRADA
RB	100098204	1000083	FACTURA_NO_ENCONTRADA
RB	100098209	1000084	FACTURA_NO_ENCONTRADA
RB	100098209	1000084	FACTURA_NO_ENCONTRADA
RB	100098209	1000084	FACTURA_NO_ENCONTRADA
RB	100098217	1000085	FACTURA_NO_ENCONTRADA
RB	100098227	1000085	FACTURA_NO_ENCONTRADA
RB	100098227	1000085	FACTURA_NO_ENCONTRADA
RB	100098228	1000086	FACTURA_NO_ENCONTRADA
RB	100098228	1000086	FACTURA_NO_ENCONTRADA
RB	100098228	1000086	FACTURA_NO_ENCONTRADA
RB	100098228	1000086	FACTURA_NO_ENCONTRADA
RB	100098228	1000086	FACTURA_NO_ENCONTRADA
RB	100098230	1000086	FACTURA_NO_ENCONTRADA
RB	100098230	1000086	FACTURA_NO_ENCONTRADA
RB	100098230	1000086	FACTURA_NO_ENCONTRADA
RB	100098230	1000086	FACTURA_NO_ENCONTRADA
RB	100098231	1000086	FACTURA_NO_ENCONTRADA
